,cases_per_mil,deaths_per_mil,reprod_rate,string_index,pop_density,median_age,life_expect,hum_dev_index,gdp_per_capita,social_support,life_choices
Afghanistan,-0.8826033179658073,-0.7769767373146588,-0.7614319039519235,-0.05612531017448787,-0.227059523302141,-1.3435209623487494,-1.0846941275371054,-1.4213619480100734,-1.4029545166257797,-2.30210047494964,-2.7077110500797295
Albania,-0.2705075486176605,-0.009090307582381031,-0.33946515524702775,0.3938580459219056,-0.1699780907121792,0.7437966690245156,0.7060112353496089,0.4065631534308062,0.0960822455501985,-1.2006264173884797,-0.0771856272277833
Algeria,-0.8730184041164035,-0.8063969233595942,-0.23717018586402255,0.5819591965784155,-0.26900757047533064,-0.21378719279105438,0.48575708227256786,0.10405442185432234,0.23418445982101738,-0.16237896736104176,-2.117044767141695
Argentina,0.43994498479904537,1.1975422987316193,0.1464359493222469,1.2200437033313203,-0.27033251958359533,0.087475145757664,0.4583882230144748,0.7283809529802564,0.4601699013550847,0.7427598352269812,0.5272170808948569
Armenia,0.0396031633680835,1.2573291205089332,0.05692785111211708,-1.1521888464405151e-15,-0.172173138765154,0.49633117664521126,0.25247013907262567,0.28427238960201484,-0.14747984143651818,-0.5117891668895065,-0.7640068864580567
Australia,0.97312661680144,-0.674039459383289,0.33823901691538133,-0.5442153648952617,-0.28501331777294997,0.7330372997906326,1.3407081143349298,1.3655801960881684,1.1632357194610712,1.1287749128012854,1.1178833638328922
Austria,2.2556164732483386,0.7301296460383055,1.1054512872879196,-0.20611976220661982,-0.16785319367945414,1.4323962999930153,1.0930851019997958,1.2239803642864109,1.1732795168625847,0.885851631224353,0.9461780490253239
Azerbaijan,-0.3945600290793163,-0.2094361573469975,-0.4033995111114057,0.9200547992670575,-0.15364195473854508,0.14127199192707807,-0.019915174496023546,0.15554526978223449,0.33713338318653663,-0.20563927777885135,-0.2969684301814709
Bahrain,1.3239409750410616,-0.2836567118378864,-0.2627439282097738,-0.5069194470926771,1.901780675641827,0.14127199192707807,0.5391915217764669,0.7734354449171795,1.138126225957286,0.5297859993239176,0.9736508993945349
Bangladesh,-0.8343370464695432,-0.7905900136430807,0.7090582809287749,0.6946577308079629,1.1427115610298377,-0.3859371005331795,-0.07334961399992071,-0.642562873100403,-0.8706332543455326,-0.9344091225096491,0.9118369860638101
Belarus,-0.21716109960412774,-0.36776099091737563,0.5044683421627645,-3.3592463781685566,-0.23561794777260564,0.99126216140382,0.2133717687039205,0.586781121178498,0.39739616759562124,0.8525744693644992,-1.0936810908885877
Belgium,1.4731596751059022,1.1252858898282214,0.4405339862983865,-0.2815223786335825,0.13630239516612414,1.152652699912062,1.104814613110406,1.281907568205312,1.123060529855015,0.9823554006179287,0.5409535060794624
Benin,-0.8983800979387696,-0.9121413020675881,-1.4902835608058347,-1.1450039538455816,-0.17649647825505957,-1.3220022238809839,-1.4834975052979016,-1.2025258443164468,-1.2949836945595032,-2.56831776982847,-0.3107048553660764
Bhutan,-0.40183229697267486,-0.9017648536718166,-0.6847106769146697,0.9946466348722256,-0.2646627330921228,-0.2675840389604684,-0.17891521399542604,-0.5009630412986447,-0.24038496740052365,0.37338333858260425,0.4310621046026189
Bolivia,-0.39948052409058554,0.46908427301490246,-0.9788087138908093,0.9200547992670575,-0.277093041293144,-0.6118838544447186,-0.21410374732726054,-0.0890362578753482,-0.3332900933645288,0.0006791257522422915,0.8019455845869664
Bosnia and Herzegovina,-0.13892741252022245,2.705976861479561,-0.6591369345689183,0.6192551143810002,-0.21113524170545678,1.2279682845492421,0.5535275909116588,0.3100178135659709,0.09106034684944143,0.010662274310198066,-1.2516499805115504
Botswana,-0.056543891845217166,-0.078846349403421,-1.0811036832738146,0.0938691418576429,-0.2840606216592362,-0.5688463775091872,-0.4643333176869764,0.020381793971465105,0.3321114844857796,-0.2122947101508221,0.41732567941801346
Brazil,0.05469689308360088,1.4139087968505633,1.0798775449421683,-0.3188182964361671,-0.26030431809209237,0.25962505349978915,0.3554291810435493,0.21347247370113565,0.23920635852177444,0.7660538485288793,-0.02910813908166413
Bulgaria,0.21618023356633884,3.117284246686891,-0.6079894498774158,-0.9569028031890706,-0.21488718982074773,1.464674407694664,0.2472570230234641,0.5417266292415749,0.4601699013550847,1.0123048462917967,-0.57169693387358
Burkina Faso,-0.9063502674783108,-0.9085624923144353,-0.914874358026431,0.3938580459219056,-0.20926266205201696,-1.4511146546875775,-1.5082598065314157,-1.8011069514784253,-1.4506625542829714,-0.5084614507035207,-0.956316839042533
Burundi,-0.8899238495306665,-0.9196334037930693,-1.375201720249954,-4.673522090298745,0.1900448654858134,-1.4618740239214605,-1.5082598065314157,-1.9233977153072166,-2.1662831191408505,-2.5350406079686163,-1.1967042797731287
Cambodia,-0.8591054466948413,-0.7867164695577843,-0.5824157075316645,-0.9569028031890706,-0.1860438058174314,-0.5903651159769527,-0.43435790040430344,-0.8871444007579857,-0.8405018621409907,-0.2888321824284855,1.475030418632634
Cameroon,-0.8834000729150636,-0.868792106478372,-1.0938905544466901,-1.1068972552212024,-0.23106152586058012,-1.3220022238809839,-1.806710700345868,-1.0866714364786454,-0.9032755959004535,-0.994308013857386,-0.09092205241238877
Canada,-0.23112947903982686,-0.11338801319443366,0.26151778987812746,-0.5442153648952617,-0.28406854193571596,1.109615222976531,1.2090769340936223,1.269034856223334,1.1456590740084214,0.9856831168039137,1.3033251038250655
Central African Republic,-0.8929474639488177,-0.9047339458370998,-1.3496279779042029,-0.7315057347299759,-0.2801740288437885,-1.375799070050398,-2.589981386732269,-2.155106530982821,-2.2165021061484214,-4.02252974310408,-1.162363216811615
Chad,-0.9099173478143948,-0.9134019850506245,-1.2089723950025706,0.3192662103167375,-0.2752476168733492,-1.547948977792523,-2.464866601552411,-2.1486701749918318,-1.4029545166257797,-1.4734991446392804,-1.5126420590190544
Chile,0.3738820642559805,1.3376768492838242,0.8241401214846554,0.2065676760871902,-0.2611619708880485,0.46405306894356235,0.9158391563283306,0.7669990889261905,0.6284035078304456,0.5331137155099026,-0.2557591546276545
China,-0.9072292130339159,-0.9192449244443408,1.8343029441418308,-0.244226460830999,-0.12154786297430266,0.8191122536616956,0.48966691930943856,0.18772704973717957,0.3019800922812373,-0.27884903387052973,0.8706277105099938
Colombia,-0.11710905151630534,1.1239434611907226,-0.07094086061663883,0.4692606623488683,-0.23859936613321836,0.1197532534593129,0.5391915217764669,0.22634518568311368,0.19149832086458246,0.6695500791353028,0.5203488683025541
Comoros,-0.8517619028296114,-0.7860565046410253,-1.5286441743244616,-1.1521888464405151e-15,0.20621354418530302,-1.1498523161388592,-1.1511613571639054,-1.1445986403975457,-1.5937866672545475,-1.503448590313149,-1.7324248619727416
Costa Rica,0.24602568329363592,0.3177460680405787,-0.991595585063685,-0.2815223786335825,-0.17992595797081556,0.2703844227336721,0.9288719464512317,0.5031084932956414,0.3145348390331302,0.77270928090085,1.124751576425195
Croatia,0.9481159491199885,2.0149275971410954,1.4123361954369347,0.9200547992670575,-0.20521766370697317,1.3893588230574843,0.6955850032512877,0.7669990889261905,0.6183597104289315,0.19035894835340866,-0.6747201227581211
Cyprus,2.7420549633094145,-0.035571399867340335,-0.3266782840741518,0.769249566413131,-0.14419645930234218,0.6684810843873356,1.020101477311545,0.9987079046017951,0.8895422402698117,0.04726715235603763,0.08078326239517968
Denmark,2.6929521148233455,-0.10172838301164512,-0.3266782840741518,-1.0323054196160344,-0.13416825781083924,1.2064495460814761,1.0096752452132238,1.3398347721242123,1.1908561623152347,1.2119678174509196,1.3582708045634875
Dominican Republic,-0.5566696276277334,-0.6222824607465884,-0.032580247098012174,1.2200437033313203,-0.036462595687884,-0.3751777312992965,0.12083895883131628,0.15554526978223449,0.26682680137593795,0.6396006334614348,0.7057906082947281
Ecuador,-0.5850632104043703,0.5720942970791421,-0.36503889759277874,0.6946577308079629,-0.21289693748817934,-0.32138088512988244,0.5026997094323415,0.17485433775520154,0.008199018286950377,0.3434338929087362,0.7126588208870308
Egypt,-0.8797911319814712,-0.7441554820680157,-0.8253662598163017,0.2438635938897737,-0.17775353927921161,-0.6226432236786013,-0.15154635473733294,-0.1598361737762274,0.010709967637328904,-0.5650326258652726,-1.0524718153347712
El Salvador,-0.7459660300190579,-0.4465683015797403,-1.2473330085211976,1.2200437033313203,0.05964203911808189,-0.3751777312992965,0.021789753897261503,-0.3786722774698533,-0.28809300505771535,0.11049375988975951,0.245620364610445
Estonia,1.9925351968066085,0.5273809240085797,-0.41618638228428134,-0.5815112826978452,-0.2535234299573099,1.2494870230170079,0.7281669785585423,1.0308896845567403,0.8242575571599706,1.062220589081578,0.6920541831101226
Ethiopia,-0.8860595141708573,-0.8741595711479685,1.194959385498049,-0.35611421423875056,-0.16988078445828447,-1.2144085315421558,-0.854013742361743,-1.5887072037757881,-1.4381078075310791,-0.5849989229811848,-0.3450459183275901
Finland,0.4028543632764735,-0.31073027262766356,-0.46733386697578394,-1.1068972552212024,-0.2681159736373182,1.2602463922508902,1.1413064254545313,1.3269620601422343,1.0828853402489584,1.2585558440547149,1.3857436549326982
France,2.01540142955828,0.7278595167166807,1.041516931423541,0.2438635938897737,-0.1499431856224757,1.174171438379828,1.2390523513762952,1.0888168884756415,1.042710150642902,0.8758684826663965,0.28682964016426143
Gabon,-0.7730909085169366,-0.8219128485446273,-1.0171693274094362,-0.05612531017448787,-0.2797440709777419,-0.859349346824023,-0.8709563695215149,-0.18558159774018348,0.372286674091836,-0.08584149508337763,-0.6815883353504238
Gambia,-0.8805920041474073,-0.8118896313713484,-1.157824910311068,-0.1315279266014517,-0.0537819774130826,-1.4618740239214605,-1.4470056929537771,-1.517907287874909,-1.508414389341678,-0.8978042444638104,-0.08405383982008603
Georgia,1.8669976443091223,2.2459550658938165,0.28709153222387873,1.2200437033313203,-0.2150546470948922,0.8191122536616956,0.08043730945032022,0.5159812052776195,-0.057085664822891284,-1.8062707632378183,-0.3313094931429846
Germany,1.182775891675253,0.32051867065109957,0.9520088332134119,0.019277306252474802,-0.020460242794470264,1.6691024231384375,1.0657162427417008,1.3848892640611354,1.1657466688114495,0.8159695913186596,0.6920541831101226
Ghana,-0.8788584620952302,-0.8878080956026266,-0.9660218427179337,0.0938691418576429,-0.1452577763506362,-1.0745367315016792,-1.1837433324711601,-0.7777263489111724,-0.7475967361769852,-1.134072093668772,-0.09092205241238877
Greece,1.3092970245126327,1.23505155476765,-0.4929076093215352,0.3192662103167375,-0.19418245563446632,1.5292306230979604,1.1843146328601073,1.0051442605927843,0.6836443935387732,-0.1756898321049833,-2.2475408063954467
Guatemala,-0.5978216160531373,-0.17688338782785437,-0.5696288363587888,0.9200547992670575,-0.11005214739789854,-0.880868085291789,0.1495110971017002,-0.4430358373797435,-0.2730273089554442,0.20034209691136443,0.9667826868022321
Guinea,-0.8946426744463547,-0.897400085699614,-1.0811036832738146,-0.35611421423875056,-0.23007714864094708,-1.3004834854132183,-1.5056532485068348,-1.6401980517037003,-1.327626036114424,-1.263853024922202,-0.42746446943522254
Haiti,-0.8950118136671429,-0.865037806054172,-1.2984804932127,0.6946577308079629,0.16219491044667841,-0.7302369160174293,-1.1928662855571905,-1.4277983040010624,-1.4707501490859998,-1.7330610071461403,-2.5291375226798585
Honduras,-0.6304900460909683,-0.10432849479164956,-1.1706117814839436,1.2200437033313203,-0.1949450651126648,-0.6656807006141326,0.27592916129384804,-0.629690161118425,-0.6697573063152509,0.09052746277384723,0.7744727342177554
Hong Kong,0.1600295723338902,0.009235718219807313,0.0,-0.8069083511569398,7.67657532415171,1.4754337769285464,1.5257737340801365,1.3977619760431135,1.3289583765860533,0.22696382639924748,0.31430249053347237
Hungary,0.4176282868496334,2.6983242682856865,-0.08372773178951476,-0.4315168306657144,-0.16638907399875855,1.3248026076541872,0.48575708227256786,0.7863081568991576,0.7338633805463437,0.6695500791353028,-1.340936744211486
Iceland,2.4934412654582156,-0.6108245698394911,-0.14766208765389272,-1.5576913921393918,-0.28478476122310414,0.6684810843873356,1.2820605587818712,1.3977619760431135,1.1833233142640989,1.3816813429361745,1.3514025919711847
India,-0.7058308337025105,-0.6395930405291268,0.632337053891521,1.2200437033313203,0.22099843743696373,-0.3106215158959999,-0.45521036460094594,-0.5588902452175458,-0.38602002972247784,-1.476826860825266,0.7126588208870308
