,cases_per_mil,deaths_per_mil,reprod_rate,string_index,pop_density,median_age,life_expect,hum_dev_index,gdp_per_capita,social_support,life_choices
Italy,288180.418,2760.278,3.58,93.52,205.859,47.9,83.51,0.892,1.294,1.488,0.231
Jamaica,46099.799,1027.758,2.12,87.04,266.879,31.4,74.47,0.734,0.831,1.478,0.49
Japan,69947.539,242.601,4.38,55.09,347.778,48.2,84.63,0.919,1.327,1.419,0.445
Jordan,165248.161,1369.751,1.72,100.0,109.285,23.2,74.53,0.729,0.837,1.225,0.383
Kazakhstan,73433.54,1001.055,2.09,92.13,6.681,30.6,73.6,0.825,1.173,1.508,0.41
Kenya,5908.063,102.772,3.1,88.89,87.324,20.0,66.7,0.601,0.512,0.983,0.431
Kosovo,128135.951,1761.39,2.32,92.59,168.155,31.086986301369862,73.15280821917808,0.7318333333333333,0.882,1.232,0.489
Kuwait,146290.227,590.267,2.43,100.0,232.128,33.7,75.49,0.806,1.5,1.319,0.493
Kyrgyzstan,30323.247,451.244,2.05,92.13,32.333,26.3,71.45,0.697,0.551,1.438,0.508
Laos,28454.372,102.448,2.37,96.3,29.715,24.4,67.92,0.613,0.764,1.03,0.547
Latvia,443725.381,3119.018,1.85,70.37,31.212,43.9,75.29,0.866,1.187,1.465,0.264
Lebanon,162376.05,1540.518,1.7,92.59,594.561,31.1,78.93,0.744,0.987,1.224,0.216
Lesotho,15450.192,323.288,1.54,85.19,73.562,22.2,54.33,0.527,0.489,1.169,0.359
Liberia,1439.131,56.754,1.85,87.96,49.127,19.2,64.1,0.48,0.073,0.922,0.37
Libya,72143.89,924.045,1.74,100.0,3.623,29.0,72.91,0.724,1.044,1.303,0.416
Lithuania,394941.822,3399.431,1.74,87.04,45.135,43.5,75.93,0.882,1.238,1.515,0.291
Luxembourg,384651.252,1690.259,2.57,79.63,231.447,39.7,82.25,0.916,1.609,1.479,0.526
Madagascar,2264.616,49.072,1.6,95.37,43.951,19.6,67.04,0.528,0.274,0.916,0.148
Malawi,4375.987,134.367,2.72,64.81,197.519,18.1,64.26,0.483,0.191,0.56,0.443
Malaysia,137449.115,1088.259,2.53,85.19,96.254,29.9,76.16,0.81,1.221,1.171,0.508
Mali,1491.053,35.194,1.52,75.0,15.196,16.4,59.31,0.434,0.385,1.105,0.327
Malta,183381.128,1397.016,3.64,87.04,1454.037,42.4,82.53,0.895,1.3,1.52,0.564
Mauritania,12382.333,205.65,2.96,77.78,4.289,20.3,64.92,0.546,0.57,1.167,0.066
Mauritius,177365.348,782.141,1.65,97.22,622.962,37.4,74.99,0.804,1.12,1.402,0.498
Mexico,44318.268,2494.161,1.93,82.41,66.444,29.3,75.05,0.779,1.07,1.323,0.433
Moldova,128923.901,2867.03,1.86,87.04,123.655,37.6,71.9,0.75,0.685,1.328,0.245
Mongolia,277547.832,654.495,1.85,96.3,1.98,28.6,69.87,0.737,0.948,1.531,0.317
Montenegro,377593.539,4330.858,2.51,84.95223776223776,46.28,39.1,76.88,0.829,1.051,1.361,0.197
Morocco,31275.664,430.475,2.29,93.52,80.08,29.6,76.68,0.686,0.801,0.782,0.418
Mozambique,7017.65,68.495,2.88,80.56,37.728,17.7,60.85,0.456,0.204,0.986,0.494
Myanmar,11190.852,354.596,2.35,90.74,81.721,29.1,67.13,0.583,0.71,1.181,0.525
Namibia,64231.505,1560.287,1.59,87.04,3.078,22.0,63.71,0.646,0.879,1.313,0.401
Nepal,32995.27,402.764,2.72,97.22,204.43,25.0,70.78,0.602,0.446,1.226,0.439
Netherlands,476270.321,1305.822,2.83,82.41,508.544,43.2,82.28,0.944,1.396,1.522,0.557
New Zealand,226771.551,220.042,2.45,96.3,18.206,37.9,82.29,0.931,1.303,1.557,0.585
Nicaragua,2758.871,35.51,1.5,24.07,51.667,27.3,74.48,0.66,0.694,1.325,0.435
Niger,359.36,12.335,1.42,61.11,16.955,15.1,62.42,0.394,0.138,0.774,0.318
Nigeria,1211.103,14.868,1.58,85.65,209.588,18.1,54.69,0.539,0.696,1.111,0.426
North Macedonia,149736.803,4466.882,2.57,84.95223776223776,82.6,39.1,75.8,0.774,0.983,1.294,0.345
Norway,262231.849,574.682,3.09,79.63,14.462,39.7,82.4,0.957,1.488,1.582,0.603
Pakistan,6795.682,134.898,2.7,96.3,255.573,23.5,67.27,0.557,0.677,0.886,0.313
Panama,195009.201,1883.794,2.06,93.52,55.133,29.7,78.51,0.815,1.149,1.442,0.516
Paraguay,90123.733,2617.028,1.46,94.44,17.144,26.5,74.25,0.728,0.855,1.475,0.514
Peru,107326.432,6390.58,1.95,96.3,25.129,29.1,76.74,0.777,0.96,1.274,0.455
Philippines,33233.262,544.437,4.24,100.0,351.873,25.2,71.23,0.718,0.807,1.293,0.558
Poland,158934.254,3077.255,2.52,87.04,124.027,41.8,78.73,0.88,1.206,1.438,0.483
Portugal,455560.098,2263.392,2.94,87.96,112.371,46.2,82.05,0.864,1.221,1.431,0.508
Qatar,125751.913,231.017,2.9,86.11,227.322,31.9,80.23,0.848,1.684,1.313,0.555
Romania,152067.057,3433.646,2.49,87.04,85.129,43.0,76.05,0.828,1.162,1.232,0.462
Russia,123775.99,2545.219,2.54,87.04,8.823,39.6,72.58,0.824,1.183,1.452,0.334
Rwanda,9795.641,109.893,2.52,90.74,494.869,20.3,69.02,0.543,0.359,0.711,0.555
Saudi Arabia,21714.693,258.767,2.22,94.44,15.322,31.9,75.13,0.854,1.403,1.357,0.439
Senegal,5007.412,115.606,2.64,77.78,82.328,18.7,67.94,0.512,0.45,1.134,0.292
Serbia,293556.749,2340.084,2.14,100.0,80.291,41.2,76.0,0.806,1.004,1.383,0.282
Sierra Leone,943.579,15.354,1.96,88.89,104.7,19.1,54.7,0.452,0.268,0.841,0.309
Singapore,238064.581,254.144,2.37,82.41,7915.731,42.4,83.62,0.938,1.572,1.463,0.556
Slovakia,466547.813,3688.2,1.71,87.04,113.128,41.2,77.54,0.86,1.246,1.504,0.334
